,,
Achievement,Description,
Greenhorn,"Earn 15,000g",Good Ol' Cap
Cowpoke,"Earn 50,000g",Lucky Bow
Homesteader,"Earn 250,000g",Cool Cap
Millionaire,"Earn 1,000,000g",Bowler Hat
Legend,"Earn 10,000,000g (Secret Achievement)",Sombrero
A Complete Collection,Complete the museum collection.,Cowboy Hat
A New Friend,Reach a 5-heart friend level with someone.,Butterfly Bow
Best Friends,Reach a 10-heart friend level with someone.,Mouse Ears
The Beloved Farmer,Reach a 10-heart friend level with 8 people.,Cat Ears
Cliques,Reach a 5-heart friend level with 4 people.,Tiara
Networking,Reach a 5-heart friend level with 10 people.,Santa Hat
Popular,Reach a 5-heart friend level with 20 people.,Earmuffs
Cook,Cook 10 different recipes.,Delicate Bow
Sous Chef,Cook 25 different recipes.,Plum Chapeau
Gourmet Chef,Cook every recipe.,Archer's Cap
,,Chef Hat
Moving Up,Upgrade your house.,Tropiclip
Living Large,"Upgrade your house to the maximum size. (2nd upgrade, not cellar)",Hunter's Cap
D.I.Y.,Craft 15 different items.,Daisy
Artisan,Craft 30 different items.,Trucker Hat
Craft Master,Craft every item.,Gnome's Cap
Fisherman,Catch 10 different fish.,Sou'wester
Ol' Mariner,Catch 24 different fish.,Official Cap
Master Angler,Catch every fish.,Eye Patch
Mother Catch,Catch 100 fish.,Watermelon Band
Treasure Trove,Donate 40 different items to the museum.,Blue Bonnet
Gofer,Complete 10 'Help Wanted' requests.,Polka Bow
A Big Help,Complete 40 'Help Wanted' requests.,Chicken Mask
Polyculture,Ship 15 of each crop. See (note below),Cowpoke Hat
Monoculture,Ship 300 of one crop. See (note below),Cowgal Hat
Full Shipment,Ship every item.,Goblin Mask
Prairie King,Beat 'Journey of the Prairie King'.,Prairie King Arcade System
The Bottom,Reach the lowest level of the mines.,Skull Key
Local Legend,Restore the Pelican Town Community Center.,Stardew Hero Trophy
Joja Co. Member Of The Year,Purchase all Joja Community Development projects.,Soda Machine
Mystery Of The Stardrops,Find every stardrop.,
Full House,Get married and have two kids.,
Singular Talent,Reach level 10 in a skill.,
Master Of The Five Ways,Reach level 10 in every skill.,
Protector Of The Valley,Complete all of the Adventure Guild Monster Slayer goals.,
Fector's Challenge,Beat 'Journey Of The Prairie King' without dying. (Secret Achievement),
A Distant Shore,Reach Ginger Island.,Paper Hat
Well-Read,Read every book. Note: This applies to power books only.,Pageboy Cap
Two Thumbs Up,See a movie.,Jester Hat
Blue Ribbon,Get 1st place in the Stardew Valley Fair competition.,Blue Ribbon
An Unforgettable Soup,Delight the Governor.,Governor's Hat
Good Neighbors,Help your forest neighbors grow their family.,White Bow
Danger In The Deep,Reach the bottom of the 'dangerous' mines.,Space Helmet
Infinite Power,Obtain the most powerful weapon.,Infinity Crown
Perfection,Reach the summit.,Junimo Hat