Items Donated,Item Reward,Minerals Donated,Mineral Reward ,Artifacts Donated,Artifact Reward
5,Cauliflower Seeds (9),11,Standing Geode,11 artifacts including: Rare Disc Dwarf Gadget,Burnt Offering'
10,Melon Seeds (9),21,Singing Stone,15 artifacts,Skeleton Statue
15,Starfruit Seeds (1),31,Obsidian Vase,20 artifacts,Rarecrow #7
20,A Night On Eco-Hill' Painting,41,Crystal Chair,3 artifacts including: Ancient Drum,Drum Block
25,Jade Hills' Painting,50,Crystalarium,Ancient Seed,Ancient Seeds (1) + Crafting Recipe
30,Lg. Futan Bear,,,3 artifacts including: Bone Flute,Flute Block
35,Pumpkin Seeds (9),,,5 artifacts including: Chicken Statue,Chicken Statue
40,Rarecrow #8 (+ Treasure Trove Achievement),,,Dwarf Scroll I Dwarf Scroll II Dwarf Scroll III Dwarf Scroll IV,Dwarvish Translation Guide
50,Bear Statue,,,Prehistoric Skull Skeletal Hand Prehistoric Scapula,Sloth Skeleton L
60,Rusty Key (Gunther will deliver it the next day),,,Prehistoric Rib Prehistoric Vertebra,Sloth Skeleton M
70,Triple Shot Espresso (3),,,Prehistoric Tibia Skeletal Tail,Sloth Skeleton R
80,Warp Totem: Farm (5),,,,
90,Magic Rock Candy,,,,
95 (all items),Stardrop (+ A Complete Collection Achievement),,,,