Name,Hat Description,Achievement,Achievement Description
Good Ol' Cap,A floppy old topper with a creased bill. Looks like it's been through a lot.,Greenhorn,"Earn 15,000g."
Lucky Bow,The middle is made of solid gold.,Cowpoke,"Earn 50,000g."
Cool Cap,"It looks really faded, but it used to be a vibrant blue.",Homesteader,"Earn 250,000g."
Bowler Hat,Made from smooth felt.,Millionaire,"Earn 1,000,000g."
Sombrero,A festively decorated hat made from woven straw.,Legend,"Earn 10,000,000g."
Blue Bonnet,Harken back to simpler times with this prairie bonnet.,Treasure Trove,Donate 40 different items to The Museum.
Cowboy Hat,"The leather is old and cracked, but surprisingly supple. It smells musty.",A Complete Collection,Complete the museum collection.
Butterfly Bow,This one is very soft.,A New Friend,Reach a 5-heart friend level with someone.
Mouse Ears,Made from synthetic fibers.,Best Friends,Reach a 10-heart friend level with someone.
Cat Ears,Whiskers included.,The Beloved Farmer,Reach a 10-heart friend level with 8 people.
Tiara,This one has a big amethyst encircled by gold.,Cliques,Reach a 5-heart friend level with 4 people.
Santa Hat,Celebrate the magical season.,Networking,Reach a 5-heart friend level with 10 people.
Earmuffs,Keep your ears toasty. Lined with artisanal velvet from Castle Village.,Popular,Reach a 5-heart friend level with 20 people.
Delicate Bow,Little pink jewels glisten as you examine it.,Cook,Cook 10 different recipes.
Plum Chapeau,Looks alright.,Sous Chef,Cook 25 different recipes.
Archer's Cap,Fashionable whether you're an archer or not.,Gourmet Chef,Cook every recipe.
Tropiclip,It's shaped like a little palm tree.,Moving Up,Upgrade your house.
Hunter's Cap,The wool lining should stay warm deep into the forest.,Living Large,Upgrade your house to the maximum size.
Daisy,A fresh spring daisy to put in your hair.,D.I.Y.,Craft 15 different items.
Trucker Hat,Mesh in the back to keep your head cool.,Artisan,Craft 30 different items.
Gnome's Cap,This gnome had a very large head.,Craft Master,Craft every Item.
Sou'wester,The shape helps to keep sailors dry during storms.,Fisherman,Catch 10 different fish.
Official Cap,"Looks like it belonged to a postman or policeman. Either way, it's still very soft and smells okay.",Ol' Mariner,Catch 24 different fish.
Eye Patch,You can't tell if it's real or just from a costume shop.,Master Angler,Catch every fish.
Watermelon Band,The color scheme was inspired by the beloved summer melon.,Mother Catch,Catch 100 Fish.
Polka Bow,This one's sure to be turn heads.,Gofer,Complete 10 'Help Wanted' requests.
Chicken Mask,You'll be sure to get them grinning with this one.,A Big Help,Complete 40 'Help Wanted' requests.
Cowpoke Hat,For dairy experts.,Polyculture,Ship 15 of each crop.
Cowgal Hat,The band is studded with fake diamonds.,Monoculture,Ship 300 of one crop.
Goblin Mask,Freak out the neighborhood with this creepy mask. Rubber ear joints for effect.,Full Shipment,Ship every item.
Chef Hat,The traditional hat worn by a head chef.,Gourmet Chef,Cook every recipe.
Straw Hat,"Light and cool, it's a farmer's delight.",,Win the egg hunt at the Egg Festival.
Sailor's Cap,It's fresh and starchy.,,Win the fishing competition at the Festival of Ice.
Elegant Turban,A fine black silk turban with gold trim.,,Earn all other Achievements.
Junimo Hat,To honor our little buddies...,Perfection,Reach the summit.
Paper Hat,It's made out of special paper that won't disintegrate in the rain.,A Distant Shore,Reach Ginger Island.
Pageboy Cap,"For some reason, it makes you want to sell newspapers.",Well-Read,Read every book.
Jester Hat,Put your inner clown on display.,Two Thumbs Up,See a movie.
Blue Ribbon,A lovely ribbon that sits behind the head.,Blue Ribbon,Get 1st place in the Stardew Valley Fair competition.
Governor's Hat,A replica of the Governor's iconic hat.,An Unforgettable Soup,Delight the Governor.
White Bow,A bow as white as snow.,Good Neighbors,Help your forest neighbors grow their family.
Space Helmet,Warning: This helmet has not actually been tested in outer space.,Danger In The Deep,Reach the bottom of the 'dangerous' mines.
Infinity Crown,It's made from an exotic metal you've never seen before.,Infinite Power,Obtain the most powerful weapon.
Sports Cap,The cap has a vintage team logo on it.,,Can be obtained from the Prize Machine.